created_at,entry_id,field1
2018-04-18 06:18:47 UTC,692,"2018/04/18,06:00:25,18.790,0.07863,-0.83325,6.03100,8.05149,301.80200,13.82500,33.55410,4.05,83.68"
2018-04-18 06:49:54 UTC,693,"2018/04/18,06:30:25,18.780,0.07841,-0.83353,5.97400,8.04868,300.01199,13.70810,33.57310,4.05,83.68"
2018-04-18 07:20:34 UTC,694,"2018/04/18,07:00:25,18.780,0.07788,-0.83413,5.88100,8.04058,294.54001,13.57120,33.56240,4.05,83.68"
2018-04-18 07:51:07 UTC,695,"2018/04/18,07:30:25,18.780,0.07769,-0.83436,5.80000,8.03810,290.98999,13.47480,33.56740,4.05,83.68"
2018-04-18 08:21:36 UTC,696,"2018/04/18,08:00:25,18.770,0.07835,-0.83362,5.62800,8.04860,297.68500,13.82790,33.53650,4.05,83.68"
2018-04-18 08:52:08 UTC,697,"2018/04/18,08:30:25,18.770,0.08009,-0.83169,5.46400,8.07585,303.47000,14.31750,33.56700,4.04,83.68"
2018-04-18 09:22:56 UTC,698,"2018/04/18,09:00:25,18.760,0.08087,-0.83074,5.33000,8.08644,307.32700,14.54720,33.57080,4.04,83.68"
2018-04-18 09:56:27 UTC,699,"2018/04/18,09:30:25,18.760,0.08111,-0.83040,5.15300,8.08953,307.94199,14.64630,33.55880,4.04,83.52"
2018-04-18 10:26:54 UTC,700,"2018/04/18,10:01:14,18.750,0.08052,-0.83094,5.05200,8.07894,301.98999,14.61400,33.59840,4.04,83.52"
2018-04-18 10:58:02 UTC,701,"2018/04/18,10:31:43,18.750,0.08104,-0.83037,4.87400,8.08727,306.22198,14.68610,33.57120,4.03,83.36"
2018-04-18 11:30:33 UTC,702,"2018/04/18,11:02:22,18.750,0.08126,-0.83010,4.70700,8.09073,306.38800,14.72930,33.58200,4.03,83.36"
2018-04-18 12:34:50 UTC,703,"2018/04/18,12:30:25,18.740,0.08003,-0.83135,4.46200,8.07015,299.53000,14.57470,33.57320,4.05,83.36"
2018-04-18 13:11:02 UTC,704,"2018/04/18,13:00:25,18.740,0.07994,-0.83142,4.31600,8.06858,298.67499,14.59120,33.57180,4.04,83.03"
2018-04-18 14:14:20 UTC,705,"2018/04/18,14:00:25,18.730,0.08059,-0.83072,4.27000,8.07899,300.24701,14.74380,33.57040,4.04,83.03"
2018-04-18 14:47:32 UTC,706,"2018/04/18,14:30:25,18.720,0.08051,-0.83078,4.26000,8.07730,299.85999,14.75640,33.54910,4.04,83.03"
2018-04-18 15:19:23 UTC,707,"2018/04/18,15:00:25,18.720,0.08130,-0.82991,4.31000,8.09001,301.26801,14.90030,33.57250,4.04,83.03"
2018-04-18 15:49:50 UTC,708,"2018/04/18,15:30:25,18.710,0.08046,-0.83076,4.36100,8.07563,298.64700,14.81350,33.55800,4.03,83.03"
2018-04-18 16:21:05 UTC,709,"2018/04/18,16:00:25,18.710,0.07959,-0.83180,4.51800,8.06364,306.64600,14.12500,33.61710,4.04,83.03"
2018-04-18 16:52:54 UTC,710,"2018/04/18,16:30:25,18.700,0.07751,-0.83436,4.68700,8.03479,308.49100,13.12990,33.59720,4.04,83.03"
2018-04-18 17:54:12 UTC,711,"2018/04/18,17:30:25,18.690,0.07833,-0.83380,5.03900,8.05146,302.07101,13.29470,33.58970,4.04,83.03"
2018-04-18 18:25:37 UTC,712,"2018/04/18,18:00:25,18.690,0.07893,-0.83320,5.13800,8.06125,300.76999,13.43220,33.59560,4.04,83.03"
