"Current time"	2018/04/17 17:43:42
#0000077	2018/04/19 08:00:25	18.59	 1.34819	0.082104	-0.829301	 5.75	15.11	14.545	 5.686	8.106181	8.660653	 0.0000	 1.1171	4835	496	312.161	98.303	14.619	  14.5973	  4.10016	  33.6045
#0000078	2018/04/19 08:30:25	18.59	 1.34859	0.081628	-0.829772	 5.73	15.15	14.535	 5.578	8.097948	8.652533	 0.0000	 1.1145	4835	496	307.168	96.718	14.614	  14.5916	  4.09970	  33.6052
#0000079	2018/04/19 09:00:25	18.58	 1.34552	0.081994	-0.829366	 5.74	15.41	14.615	 5.468	8.103641	8.658696	 0.0000	 1.1110	4835	496	309.251	97.646	14.742	  14.7592	  4.11612	  33.6101
#0000080	2018/04/19 09:30:25	18.58	 1.33680	0.082898	-0.828337	 5.75	15.84	14.846	 5.373	8.117421	8.674009	 0.0000	 1.1047	4835	496	316.583	100.572	15.023	  15.0660	  4.14370	  33.5962
#0000081	2018/04/19 10:01:29	18.57	 1.33391	0.082914	-0.828268	 5.75	15.99	14.922	 5.211	8.117008	8.674318	 0.0000	 1.1056	4835	496	317.006	100.778	15.056	  15.0827	  4.14555	  33.5986
#0000082	2018/04/19 10:33:07	18.57	 1.33437	0.082390	-0.828789	 5.75	16.06	14.910	 5.017	8.107962	8.665334	 0.0000	 1.1056	4835	496	312.498	99.254	15.014	  14.9953	  4.13721	  33.5983
#0000083	2018/04/19 11:03:58	18.57	 1.33259	0.083344	-0.827776	 5.73	16.07	14.957	 4.881	8.124217	8.682503	 0.0000	 1.1039	4835	496	314.156	100.035	15.131	  15.1909	  4.15697	  33.6089
#0000084	2018/04/19 11:34:45	18.56	 1.33031	0.082834	-0.828284	 5.74	16.11	15.017	 4.771	8.114762	8.672913	 0.0000	 1.1025	4835	496	315.448	100.449	15.133	  15.1563	  4.15120	  33.5865
#0000085	2018/04/19 12:00:25	18.56	 1.32958	0.082755	-0.828348	 5.74	15.47	15.037	 4.648	8.113205	8.671562	 0.0000	 1.1041	4835	496	313.474	99.854	15.148	  15.1478	  4.15176	  33.5989
#0000086	2018/04/19 12:30:25	18.56	 1.33090	0.081977	-0.829127	 5.74	15.49	15.002	 4.528	8.099917	8.658348	 0.0000	 1.1022	4835	496	308.434	98.099	15.077	  15.0144	  4.14024	  33.6093
#0000087	2018/04/19 13:00:25	18.56	 1.32610	0.082938	-0.828103	 5.74	15.59	15.129	 4.425	8.115598	8.674760	 0.0000	 1.1016	4835	496	314.644	100.432	15.243	  15.2119	  4.15856	  33.6053
#0000088	2018/04/19 13:30:25	18.55	 1.32400	0.083064	-0.827912	 5.75	15.70	15.185	 4.367	8.117299	8.677436	 0.0000	 1.0973	4835	496	315.548	100.796	15.278	  15.2505	  4.16092	  33.5934
#0000089	2018/04/19 14:00:25	18.55	 1.32286	0.083061	-0.827872	 5.74	15.75	15.215	 4.320	8.116969	8.677779	 0.0000	 1.0968	4835	496	314.884	100.669	15.317	  15.2787	  4.16563	  33.6118
#0000090	2018/04/19 14:30:25	18.55	 1.32282	0.083031	-0.827925	 5.73	15.76	15.217	 4.243	8.116433	8.676834	 0.0000	 1.0954	4835	496	314.590	100.541	15.301	  15.2797	  4.16393	  33.5956
#0000091	2018/04/19 15:00:25	18.54	 1.32411	0.082347	-0.828598	 5.74	15.91	15.182	 4.274	8.104782	8.665483	 0.0000	 1.0919	4835	496	309.796	98.897	15.249	  15.2230	  4.15856	  33.5957
